match_id,batting_team,bowling_team,toss_winner,toss_decision,venue,season,match_won_by
335982,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,2007/08,Kolkata Knight Riders
335983,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",2007/08,Chennai Super Kings
335984,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Feroz Shah Kotla,2007/08,Delhi Daredevils
335985,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,2007/08,Royal Challengers Bangalore
335986,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,Eden Gardens,2007/08,Kolkata Knight Riders
335987,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Sawai Mansingh Stadium,2007/08,Rajasthan Royals
335988,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",2007/08,Delhi Daredevils
335989,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",2007/08,Chennai Super Kings
335990,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",2007/08,Rajasthan Royals
335991,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",2007/08,Kings XI Punjab
335992,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,2007/08,Rajasthan Royals
335993,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",2007/08,Chennai Super Kings
335994,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,2007/08,Deccan Chargers
335995,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,"Punjab Cricket Association Stadium, Mohali",2007/08,Kings XI Punjab
335996,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,M Chinnaswamy Stadium,2007/08,Chennai Super Kings
335997,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,2007/08,Mumbai Indians
335998,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,2007/08,Delhi Daredevils
335999,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",2007/08,Kings XI Punjab
336000,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,2007/08,Rajasthan Royals
336001,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",2007/08,Delhi Daredevils
336003,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",2007/08,Kings XI Punjab
336034,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,2007/08,Royal Challengers Bangalore
336004,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Dr DY Patil Sports Academy,2007/08,Mumbai Indians
336005,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Sawai Mansingh Stadium,2007/08,Rajasthan Royals
336006,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,2007/08,Kings XI Punjab
336007,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,"MA Chidambaram Stadium, Chepauk",2007/08,Deccan Chargers
336008,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Dr DY Patil Sports Academy,2007/08,Mumbai Indians
336009,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,2007/08,Chennai Super Kings
336010,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Eden Gardens,2007/08,Kolkata Knight Riders
336011,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,2007/08,Rajasthan Royals
336013,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,"MA Chidambaram Stadium, Chepauk",2007/08,Chennai Super Kings
336014,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",2007/08,Kolkata Knight Riders
336015,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,2007/08,Rajasthan Royals
336016,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,"Punjab Cricket Association Stadium, Mohali",2007/08,Kings XI Punjab
336017,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens,2007/08,Kolkata Knight Riders
336018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,2007/08,Mumbai Indians
336020,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Feroz Shah Kotla,2007/08,Delhi Daredevils
336021,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,2007/08,Mumbai Indians
336022,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,2007/08,Kings XI Punjab
336023,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,2007/08,Rajasthan Royals
336024,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",2007/08,Mumbai Indians
336025,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,2007/08,Chennai Super Kings
336026,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,M Chinnaswamy Stadium,2007/08,Delhi Daredevils
336027,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,2007/08,Rajasthan Royals
336028,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,2007/08,Kings XI Punjab
336029,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",2007/08,Royal Challengers Bangalore
336031,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",2007/08,Kings XI Punjab
336032,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Feroz Shah Kotla,2007/08,Delhi Daredevils
336033,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",2007/08,Rajasthan Royals
336002,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",2007/08,Royal Challengers Bangalore
336035,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Eden Gardens,2007/08,Kolkata Knight Riders
336036,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,2007/08,Rajasthan Royals
336037,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",2007/08,Chennai Super Kings
336012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,2007/08,Mumbai Indians
336019,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",2007/08,Kings XI Punjab
336038,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium,2007/08,Rajasthan Royals
336039,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Wankhede Stadium,2007/08,Chennai Super Kings
336040,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy,2007/08,Rajasthan Royals
392181,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Newlands,2009,Mumbai Indians
